Gene,Non-unique Gene name,Annotation,GCA_000024945.1,GCA_002005185.1,GCA_002082765.1,GCA_013393365.1,GCA_016127175.1,GCA_018406505.1,GCA_028743475.1,GCA_031190775.1,GCA_032695835.1,GCA_036456085.1,GCA_042850485.1,GCA_900186885.1,GCA_900187285.1,GCA_900637515.1,GCA_902810435.1
panD,panD,Aspartate 1-decarboxylase,OKNGDJCJ_00957,GFDNPGNJ_01573,,,KOCEJNFM_00892,,GCKDAGAE_00597,PDIMPFPI_00880,AGBEICAE_00021,HCNBPFHJ_00517,BBFLPEJG_00925,AEMNHECO_00957,ICLGGANE_00940,PAGOGBDJ_00999,LAOJDNKF_01007
panC,panC,Pantothenate synthetase,OKNGDJCJ_00958,GFDNPGNJ_01574,,,KOCEJNFM_00891,,GCKDAGAE_00596,PDIMPFPI_00879,AGBEICAE_00020,HCNBPFHJ_00516,BBFLPEJG_00926,AEMNHECO_00958,ICLGGANE_00941,PAGOGBDJ_00998,LAOJDNKF_01006
panS_1~~~panS_2,panS_1;panS_2,Pantothenate precursors transporter PanS,OKNGDJCJ_00959,GFDNPGNJ_01575,,,KOCEJNFM_00890,,GCKDAGAE_00595,PDIMPFPI_00878,AGBEICAE_00019,HCNBPFHJ_00515,BBFLPEJG_00927,AEMNHECO_00959,ICLGGANE_00942,PAGOGBDJ_00997,LAOJDNKF_01005
group_2593,purR,Pur operon repressor,OKNGDJCJ_00628,GFDNPGNJ_01252,,AMGBDAFE_01227,KOCEJNFM_01221,POEAOIBB_01239,GCKDAGAE_00915,PDIMPFPI_01253,,HCNBPFHJ_00844,BBFLPEJG_00609,AEMNHECO_00628,,PAGOGBDJ_01315,LAOJDNKF_01335
yjhB,yjhB,Putative metabolite transport protein YjhB,OKNGDJCJ_01199,GFDNPGNJ_01820,,AMGBDAFE_00667,KOCEJNFM_00650,POEAOIBB_00952,GCKDAGAE_00332,PDIMPFPI_00626,,HCNBPFHJ_00260,BBFLPEJG_01170,AEMNHECO_01199,,PAGOGBDJ_00699,LAOJDNKF_00762
pcaK,pcaK,4-hydroxybenzoate transporter PcaK,OKNGDJCJ_00160,GFDNPGNJ_00740,BFBCFGIC_00293,AMGBDAFE_00155,KOCEJNFM_01689,POEAOIBB_00148,,PDIMPFPI_00121,AGBEICAE_01374,,BBFLPEJG_00166,AEMNHECO_00160,ICLGGANE_00165,PAGOGBDJ_00154,
dps~~~tpf1,dps;tpf1,DNA protection during starvation protein;Antigen TpF1,OKNGDJCJ_00146,GFDNPGNJ_00727,BFBCFGIC_00278,,KOCEJNFM_01703,,,PDIMPFPI_00108,AGBEICAE_01360,HCNBPFHJ_01733,BBFLPEJG_00153,AEMNHECO_00146,ICLGGANE_00150,PAGOGBDJ_00138,LAOJDNKF_00153
ctpV~~~cadA~~~ziaA_2~~~silP~~~ctpC_2,ctpV;;cadA;ziaA_2;silP;ctpC_2,putative copper-exporting P-type ATPase V;hypothetical protein;Cadmium-transporting ATPase;Zinc-transporting ATPase;putative cadmium-transporting ATPase;Silver exporting P-type ATPase;putative manganese/zinc-exporting P-type ATPase,OKNGDJCJ_01842,GFDNPGNJ_00495;GFDNPGNJ_00496,BFBCFGIC_01836,,KOCEJNFM_00008,POEAOIBB_01860,,PDIMPFPI_01875,AGBEICAE_01049,HCNBPFHJ_01502,BBFLPEJG_01893,AEMNHECO_01841,,PAGOGBDJ_01922,LAOJDNKF_01910
group_1954,,hypothetical protein,OKNGDJCJ_01894,GFDNPGNJ_00543,,AMGBDAFE_01913,KOCEJNFM_01880,POEAOIBB_01892,GCKDAGAE_01612,PDIMPFPI_01915,,HCNBPFHJ_01542,BBFLPEJG_01914,AEMNHECO_01893,,PAGOGBDJ_01962,LAOJDNKF_01940
group_1944,;nagZ,Beta-hexosaminidase A;Beta-hexosaminidase,OKNGDJCJ_01895,GFDNPGNJ_00544,,AMGBDAFE_01914,KOCEJNFM_01879,POEAOIBB_01893,GCKDAGAE_01613,PDIMPFPI_01916,,HCNBPFHJ_01543,BBFLPEJG_01915,AEMNHECO_01894,,PAGOGBDJ_01963,LAOJDNKF_01941
group_1917,,hypothetical protein,OKNGDJCJ_00190,GFDNPGNJ_00767,BFBCFGIC_00176,AMGBDAFE_00185,KOCEJNFM_01659,POEAOIBB_00181,GCKDAGAE_01842,PDIMPFPI_00147,,HCNBPFHJ_01776,BBFLPEJG_00190,AEMNHECO_00190,,PAGOGBDJ_00179,
group_1879,,hypothetical protein,OKNGDJCJ_01733,GFDNPGNJ_00382,,AMGBDAFE_01743,KOCEJNFM_00117,POEAOIBB_01745,GCKDAGAE_01412,PDIMPFPI_01707,,HCNBPFHJ_01303,BBFLPEJG_01783,AEMNHECO_01732,,PAGOGBDJ_01821,LAOJDNKF_01799
group_1829,ohrR,Organic hydroperoxide resistance transcriptional regulator,OKNGDJCJ_01840,GFDNPGNJ_00493,,AMGBDAFE_01877,KOCEJNFM_00010,POEAOIBB_01858,GCKDAGAE_01563,PDIMPFPI_01873,,HCNBPFHJ_01500,BBFLPEJG_01891,AEMNHECO_01839,,PAGOGBDJ_01920,LAOJDNKF_01908
group_1804,,hypothetical protein,OKNGDJCJ_01844,GFDNPGNJ_00498,,AMGBDAFE_01882,KOCEJNFM_00006,POEAOIBB_01862,GCKDAGAE_01565,PDIMPFPI_01877,,HCNBPFHJ_01504,BBFLPEJG_01895,AEMNHECO_01843,,PAGOGBDJ_01924,LAOJDNKF_01912
group_1772,ydfK,putative membrane protein YdfK,OKNGDJCJ_01848,GFDNPGNJ_00501,,AMGBDAFE_01886,KOCEJNFM_00002,POEAOIBB_01866,GCKDAGAE_01569,PDIMPFPI_01881,,HCNBPFHJ_01508,BBFLPEJG_01899,AEMNHECO_01847,,PAGOGBDJ_01928,LAOJDNKF_01916
group_1737,,hypothetical protein,OKNGDJCJ_01851,GFDNPGNJ_00503,,AMGBDAFE_01888,KOCEJNFM_01923,POEAOIBB_01868,GCKDAGAE_01571,PDIMPFPI_01883,,HCNBPFHJ_01510,BBFLPEJG_01901,AEMNHECO_01850,,PAGOGBDJ_01930,LAOJDNKF_01918
flr,;flr,hypothetical protein;Flavoredoxin,OKNGDJCJ_01855,GFDNPGNJ_00505,,AMGBDAFE_01891,KOCEJNFM_01919,POEAOIBB_01870,GCKDAGAE_01575,PDIMPFPI_01886,,HCNBPFHJ_01513,BBFLPEJG_01902,AEMNHECO_01854,,PAGOGBDJ_01931,LAOJDNKF_01921
group_1649,,hypothetical protein,OKNGDJCJ_01676,GFDNPGNJ_00267,BFBCFGIC_01675,AMGBDAFE_01684,KOCEJNFM_00174,POEAOIBB_01681,GCKDAGAE_01348,PDIMPFPI_01649,AGBEICAE_00863,,BBFLPEJG_01721,AEMNHECO_01675,,PAGOGBDJ_01764,
group_1587,,hypothetical protein,OKNGDJCJ_00248,GFDNPGNJ_00819,,AMGBDAFE_00234,KOCEJNFM_01601,POEAOIBB_00231,GCKDAGAE_01897,PDIMPFPI_00199,,HCNBPFHJ_01831,BBFLPEJG_00243,AEMNHECO_00248,,PAGOGBDJ_00228,LAOJDNKF_00246
group_1586,,hypothetical protein,OKNGDJCJ_00249,GFDNPGNJ_00820,,AMGBDAFE_00235,KOCEJNFM_01600,POEAOIBB_00232,GCKDAGAE_01898,PDIMPFPI_00200,,HCNBPFHJ_01832,BBFLPEJG_00244,AEMNHECO_00249,,PAGOGBDJ_00229,LAOJDNKF_00247
group_1555,,hypothetical protein,OKNGDJCJ_00194,GFDNPGNJ_00768,,AMGBDAFE_00186,KOCEJNFM_01655,POEAOIBB_00182,GCKDAGAE_01843,PDIMPFPI_00148,,HCNBPFHJ_01777,BBFLPEJG_00191,AEMNHECO_00194,,PAGOGBDJ_00180,LAOJDNKF_00194
group_1507,,Putative two-component membrane permease complex subunit SMU_747c,OKNGDJCJ_00278,GFDNPGNJ_00849,,AMGBDAFE_00262,KOCEJNFM_01571,POEAOIBB_00257,GCKDAGAE_01927,PDIMPFPI_00229,,HCNBPFHJ_01861,BBFLPEJG_00289,AEMNHECO_00278,,PAGOGBDJ_00256,LAOJDNKF_00276
yhaI_2~~~yhaH_3~~~yhaI~~~yhaI_1,yhaI_2;yhaH_3;yhaI;yhaI_1,Inner membrane protein YhaI;Inner membrane protein YhaH,OKNGDJCJ_00171,GFDNPGNJ_00752,,AMGBDAFE_00166,KOCEJNFM_01678,POEAOIBB_00160,GCKDAGAE_01830,PDIMPFPI_00133,,HCNBPFHJ_01761,BBFLPEJG_00177,AEMNHECO_00171,,PAGOGBDJ_00166,LAOJDNKF_00184
yhaH_3~~~yhaH_2,yhaH_3;yhaH_2,Inner membrane protein YhaH,OKNGDJCJ_00170,GFDNPGNJ_00751,,AMGBDAFE_00165,KOCEJNFM_01679,POEAOIBB_00159,GCKDAGAE_01829,PDIMPFPI_00132,,HCNBPFHJ_01760,BBFLPEJG_00176,AEMNHECO_00170,,PAGOGBDJ_00165,LAOJDNKF_00183
group_1464,,hypothetical protein,OKNGDJCJ_00198,GFDNPGNJ_00771,,AMGBDAFE_00187,KOCEJNFM_01651,POEAOIBB_00184,GCKDAGAE_01844,PDIMPFPI_00151,,HCNBPFHJ_01780,BBFLPEJG_00194,AEMNHECO_00198,,PAGOGBDJ_00181,LAOJDNKF_00197
hel,hel,Lipoprotein E,OKNGDJCJ_01805,GFDNPGNJ_00459,,AMGBDAFE_01841,KOCEJNFM_00045,POEAOIBB_01824,GCKDAGAE_01527,PDIMPFPI_01842,,HCNBPFHJ_01466,BBFLPEJG_01857,AEMNHECO_01804,,PAGOGBDJ_01887,LAOJDNKF_01874
group_1458,,putative protein,OKNGDJCJ_01795,GFDNPGNJ_00443,BFBCFGIC_01787,AMGBDAFE_01826,KOCEJNFM_00055,POEAOIBB_01812,GCKDAGAE_01517,PDIMPFPI_01833,,,BBFLPEJG_01847,AEMNHECO_01794,,PAGOGBDJ_01871,LAOJDNKF_01860
gltT,gltT,Proton/sodium-glutamate symport protein,OKNGDJCJ_01662,GFDNPGNJ_00252,BFBCFGIC_01658,,KOCEJNFM_00188,,,PDIMPFPI_01636,AGBEICAE_00843,HCNBPFHJ_01230,BBFLPEJG_01708,AEMNHECO_01661,ICLGGANE_01681,PAGOGBDJ_01747,LAOJDNKF_01723
group_1362,,hypothetical protein,OKNGDJCJ_00168,GFDNPGNJ_00749,,AMGBDAFE_00163,KOCEJNFM_01681,POEAOIBB_00157,GCKDAGAE_01827,PDIMPFPI_00130,,HCNBPFHJ_01758,BBFLPEJG_00174,AEMNHECO_00168,,PAGOGBDJ_00163,LAOJDNKF_00181
group_1357,,hypothetical protein,OKNGDJCJ_01327,GFDNPGNJ_01946,,AMGBDAFE_00532,KOCEJNFM_00522,,GCKDAGAE_00202,PDIMPFPI_00500,,HCNBPFHJ_00077,BBFLPEJG_01307,AEMNHECO_01327,ICLGGANE_01361,PAGOGBDJ_00519,LAOJDNKF_00627
group_1249,,hypothetical protein,OKNGDJCJ_00357,GFDNPGNJ_00922,,AMGBDAFE_00344,KOCEJNFM_01492,POEAOIBB_00332,GCKDAGAE_02012,PDIMPFPI_00305,,HCNBPFHJ_01933,BBFLPEJG_00357,AEMNHECO_00357,,PAGOGBDJ_00326,LAOJDNKF_00349
group_1184,rnhA,Ribonuclease H,OKNGDJCJ_00677,GFDNPGNJ_01302,,AMGBDAFE_01178,KOCEJNFM_01172,POEAOIBB_01190,GCKDAGAE_00865,PDIMPFPI_01204,,HCNBPFHJ_00795,BBFLPEJG_00658,AEMNHECO_00677,,PAGOGBDJ_01266,LAOJDNKF_01286
group_1172,,hypothetical protein,OKNGDJCJ_01105,GFDNPGNJ_01718,,AMGBDAFE_00769,KOCEJNFM_00744,POEAOIBB_00851,GCKDAGAE_00446,PDIMPFPI_00729,,HCNBPFHJ_00364,BBFLPEJG_01071,AEMNHECO_01105,,PAGOGBDJ_00804,LAOJDNKF_00862
group_1153,,hypothetical protein,OKNGDJCJ_01106,GFDNPGNJ_01719,,AMGBDAFE_00768,KOCEJNFM_00743,POEAOIBB_00852,GCKDAGAE_00445,PDIMPFPI_00728,,HCNBPFHJ_00363,BBFLPEJG_01072,AEMNHECO_01106,,PAGOGBDJ_00803,LAOJDNKF_00861
group_1144,yhfT,putative acyl--CoA ligase YhfT,OKNGDJCJ_00674,GFDNPGNJ_01299,,AMGBDAFE_01181,KOCEJNFM_01175,POEAOIBB_01193,GCKDAGAE_00868,PDIMPFPI_01207,,HCNBPFHJ_00798,BBFLPEJG_00655,AEMNHECO_00674,,PAGOGBDJ_01269,LAOJDNKF_01289
group_1140,nnr,Bifunctional NAD(P)H-hydrate repair enzyme Nnr,OKNGDJCJ_01073,GFDNPGNJ_01685,,AMGBDAFE_00802,KOCEJNFM_00776,POEAOIBB_00814,GCKDAGAE_00483,PDIMPFPI_00765,,HCNBPFHJ_00398,BBFLPEJG_01038,AEMNHECO_01073,,PAGOGBDJ_00838,LAOJDNKF_00895
group_1135,,hypothetical protein,OKNGDJCJ_01779,GFDNPGNJ_00429,,AMGBDAFE_01810,KOCEJNFM_00071,POEAOIBB_01798,GCKDAGAE_01501,PDIMPFPI_01817,,HCNBPFHJ_01448,BBFLPEJG_01832,AEMNHECO_01778,,PAGOGBDJ_01860,LAOJDNKF_01849
group_1125,,hypothetical protein,OKNGDJCJ_01107,GFDNPGNJ_01720,,AMGBDAFE_00767,KOCEJNFM_00742,POEAOIBB_00853,GCKDAGAE_00444,PDIMPFPI_00727,,HCNBPFHJ_00362,BBFLPEJG_01073,AEMNHECO_01107,,PAGOGBDJ_00802,LAOJDNKF_00860
group_1103,,hypothetical protein,OKNGDJCJ_01108,GFDNPGNJ_01721,,AMGBDAFE_00766,KOCEJNFM_00741,POEAOIBB_00854,GCKDAGAE_00443,PDIMPFPI_00726,,HCNBPFHJ_00361,BBFLPEJG_01074,AEMNHECO_01108,,PAGOGBDJ_00801,LAOJDNKF_00859
group_1101,,hypothetical protein,OKNGDJCJ_00014,GFDNPGNJ_00591,,AMGBDAFE_00016,KOCEJNFM_01835,POEAOIBB_00018,GCKDAGAE_01670,PDIMPFPI_01964,,HCNBPFHJ_01591,BBFLPEJG_00014,AEMNHECO_00014,,PAGOGBDJ_00015,LAOJDNKF_00014
group_1081,,hypothetical protein,OKNGDJCJ_01075,GFDNPGNJ_01687,,AMGBDAFE_00800,KOCEJNFM_00774,POEAOIBB_00816,GCKDAGAE_00481,PDIMPFPI_00763,,HCNBPFHJ_00396,BBFLPEJG_01040,AEMNHECO_01075,,PAGOGBDJ_00836,LAOJDNKF_00893
group_1073,,hypothetical protein,OKNGDJCJ_00422,GFDNPGNJ_01054,,AMGBDAFE_00407,KOCEJNFM_01427,POEAOIBB_00405,GCKDAGAE_00069,PDIMPFPI_00368,,HCNBPFHJ_01992,BBFLPEJG_00417,AEMNHECO_00422,,PAGOGBDJ_00390,LAOJDNKF_00469
group_1064,,hypothetical protein,OKNGDJCJ_00421,GFDNPGNJ_01053,,AMGBDAFE_00406,KOCEJNFM_01428,POEAOIBB_00404,GCKDAGAE_00068,PDIMPFPI_00367,,HCNBPFHJ_01991,BBFLPEJG_00416,AEMNHECO_00421,,PAGOGBDJ_00389,LAOJDNKF_00468
gumD~~~wcaJ,gumD;wcaJ,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase,OKNGDJCJ_00021,GFDNPGNJ_00598,,AMGBDAFE_00023,KOCEJNFM_01828,POEAOIBB_00025,GCKDAGAE_01680,PDIMPFPI_01973,,HCNBPFHJ_01600,BBFLPEJG_00021,AEMNHECO_00021,,PAGOGBDJ_00022,LAOJDNKF_00021
group_1056,pppA;,Leader peptidase PppA;hypothetical protein,OKNGDJCJ_01109,GFDNPGNJ_01722,,AMGBDAFE_00765,KOCEJNFM_00740,POEAOIBB_00855,GCKDAGAE_00442,PDIMPFPI_00725,,HCNBPFHJ_00360,BBFLPEJG_01075,AEMNHECO_01109,,PAGOGBDJ_00800,LAOJDNKF_00858
group_1047,,hypothetical protein,OKNGDJCJ_00671,GFDNPGNJ_01296,,AMGBDAFE_01184,KOCEJNFM_01178,POEAOIBB_01196,GCKDAGAE_00871,PDIMPFPI_01210,,HCNBPFHJ_00801,BBFLPEJG_00652,AEMNHECO_00671,,PAGOGBDJ_01272,LAOJDNKF_01292
group_1033,,hypothetical protein,OKNGDJCJ_00217,GFDNPGNJ_00788,,AMGBDAFE_00202,KOCEJNFM_01632,POEAOIBB_00199,GCKDAGAE_01863,PDIMPFPI_00168,,HCNBPFHJ_01798,BBFLPEJG_00212,AEMNHECO_00217,,PAGOGBDJ_00196,LAOJDNKF_00216
cfa,cfa,Cyclopropane-fatty-acyl-phospholipid synthase,OKNGDJCJ_00330,GFDNPGNJ_00901,BFBCFGIC_00362,,KOCEJNFM_01519,,,PDIMPFPI_00281,AGBEICAE_01452,HCNBPFHJ_01914,BBFLPEJG_00342,AEMNHECO_00330,ICLGGANE_00343,PAGOGBDJ_00308,LAOJDNKF_00333
group_1019,,hypothetical protein,OKNGDJCJ_01103,GFDNPGNJ_01715,,AMGBDAFE_00772,KOCEJNFM_00746,POEAOIBB_00848,GCKDAGAE_00449,PDIMPFPI_00732,,HCNBPFHJ_00367,BBFLPEJG_01068,AEMNHECO_01103,,PAGOGBDJ_00807,LAOJDNKF_00865
gltX_1~~~gltX_2,gltX_1;gltX_2,Glutamate--tRNA ligase,OKNGDJCJ_01151,GFDNPGNJ_01765,,AMGBDAFE_00722,KOCEJNFM_00698,POEAOIBB_00899,GCKDAGAE_00399,PDIMPFPI_00683,,HCNBPFHJ_00318,BBFLPEJG_01117,AEMNHECO_01151,,PAGOGBDJ_00757,LAOJDNKF_00816
xcpT,xcpT,Type II secretion system protein G,OKNGDJCJ_01110,GFDNPGNJ_01723,,AMGBDAFE_00764,KOCEJNFM_00739,POEAOIBB_00856,GCKDAGAE_00441,PDIMPFPI_00724,,HCNBPFHJ_00359,BBFLPEJG_01076,AEMNHECO_01110,,PAGOGBDJ_00799,LAOJDNKF_00857
oxyR,oxyR,Hydrogen peroxide-inducible genes activator,OKNGDJCJ_00213,GFDNPGNJ_00786,,AMGBDAFE_00198,KOCEJNFM_01636,POEAOIBB_00195,GCKDAGAE_01858,PDIMPFPI_00166,,HCNBPFHJ_01796,BBFLPEJG_00209,AEMNHECO_00213,,PAGOGBDJ_00192,LAOJDNKF_00212
group_1001,menE,2-succinylbenzoate--CoA ligase,OKNGDJCJ_00383,GFDNPGNJ_00948,,AMGBDAFE_00370,KOCEJNFM_01466,POEAOIBB_00358,GCKDAGAE_00026,PDIMPFPI_00331,,HCNBPFHJ_01959,BBFLPEJG_00383,AEMNHECO_00383,,PAGOGBDJ_00353,LAOJDNKF_00375
bioB,bioB,Biotin synthase,OKNGDJCJ_00218,GFDNPGNJ_00789,,AMGBDAFE_00203,KOCEJNFM_01631,POEAOIBB_00200,GCKDAGAE_01864,PDIMPFPI_00169,,HCNBPFHJ_01799,BBFLPEJG_00213,AEMNHECO_00218,,PAGOGBDJ_00197,LAOJDNKF_00217
group_976,tilS,tRNA(Ile)-lysidine synthase,OKNGDJCJ_00519,GFDNPGNJ_01143,,AMGBDAFE_01332,KOCEJNFM_01330,POEAOIBB_01346,GCKDAGAE_01018,PDIMPFPI_01358,,HCNBPFHJ_00951,BBFLPEJG_00502,AEMNHECO_00519,,PAGOGBDJ_01420,LAOJDNKF_01445
group_974,,hypothetical protein,OKNGDJCJ_01688,GFDNPGNJ_00278,,AMGBDAFE_01696,KOCEJNFM_00162,POEAOIBB_01692,GCKDAGAE_01359,PDIMPFPI_01661,,HCNBPFHJ_01257,BBFLPEJG_01733,AEMNHECO_01687,,PAGOGBDJ_01775,LAOJDNKF_01749
group_970,,hypothetical protein,OKNGDJCJ_01305,GFDNPGNJ_01927,,AMGBDAFE_00555,KOCEJNFM_00544,POEAOIBB_01059,GCKDAGAE_00226,PDIMPFPI_00519,,HCNBPFHJ_00099,BBFLPEJG_01284,AEMNHECO_01305,,PAGOGBDJ_00592,LAOJDNKF_00649
group_965,,hypothetical protein,OKNGDJCJ_01422,GFDNPGNJ_00023,,AMGBDAFE_01381,KOCEJNFM_00427,POEAOIBB_01393,,PDIMPFPI_01404,AGBEICAE_00570,HCNBPFHJ_00999,BBFLPEJG_01452,AEMNHECO_01422,,PAGOGBDJ_01470,LAOJDNKF_01492
group_917,,hypothetical protein,OKNGDJCJ_00983,GFDNPGNJ_01597,,AMGBDAFE_00889,KOCEJNFM_00866,POEAOIBB_00725,GCKDAGAE_00572,PDIMPFPI_00856,,HCNBPFHJ_00492,BBFLPEJG_00950,AEMNHECO_00983,,PAGOGBDJ_00975,LAOJDNKF_00982
ywqE,ywqE,Tyrosine-protein phosphatase YwqE,OKNGDJCJ_00707,GFDNPGNJ_01332,,AMGBDAFE_01147,KOCEJNFM_01142,POEAOIBB_01160,GCKDAGAE_00835,PDIMPFPI_01174,,HCNBPFHJ_00765,BBFLPEJG_00688,AEMNHECO_00707,,PAGOGBDJ_01235,LAOJDNKF_01256
yhaO,yhaO,putative metallophosphoesterase YhaO,OKNGDJCJ_00219,GFDNPGNJ_00790,,AMGBDAFE_00204,KOCEJNFM_01630,POEAOIBB_00201,GCKDAGAE_01865,PDIMPFPI_00170,,HCNBPFHJ_01800,BBFLPEJG_00214,AEMNHECO_00219,,PAGOGBDJ_00198,LAOJDNKF_00218
prn_3~~~prn_2~~~prn,prn_3;prn_2;prn,Pertactin autotransporter,OKNGDJCJ_00335,GFDNPGNJ_00903,BFBCFGIC_00364,,KOCEJNFM_01514,POEAOIBB_00312,,PDIMPFPI_00283,AGBEICAE_01455,HCNBPFHJ_01916,BBFLPEJG_00344,AEMNHECO_00335,ICLGGANE_00345,,LAOJDNKF_00335
ssp5~~~rtxA,ssp5;;rtxA,Agglutinin receptor;hypothetical protein;Multifunctional-autoprocessing repeats-in-toxin,OKNGDJCJ_00580,GFDNPGNJ_01204,,AMGBDAFE_01274,KOCEJNFM_01269,POEAOIBB_01288,GCKDAGAE_00959,PDIMPFPI_01299,,HCNBPFHJ_00890,BBFLPEJG_00560,AEMNHECO_00580,,PAGOGBDJ_01362,LAOJDNKF_01382
dcuD_1~~~dcuD_3~~~dcuD,dcuD_1;dcuD_3;dcuD,Putative cryptic C4-dicarboxylate transporter DcuD,OKNGDJCJ_00159,GFDNPGNJ_00739,,AMGBDAFE_00154,KOCEJNFM_01690,POEAOIBB_00147,GCKDAGAE_01813,PDIMPFPI_00120,,HCNBPFHJ_01745,BBFLPEJG_00165,AEMNHECO_00159,,PAGOGBDJ_00153,LAOJDNKF_00168
group_835,yhaN,putative protein YhaN,OKNGDJCJ_00220,GFDNPGNJ_00791,,AMGBDAFE_00205,KOCEJNFM_01629,POEAOIBB_00202,GCKDAGAE_01866,PDIMPFPI_00171,,HCNBPFHJ_01801,BBFLPEJG_00215,AEMNHECO_00220,,PAGOGBDJ_00199,LAOJDNKF_00219
group_806,bioW,6-carboxyhexanoate--CoA ligase,OKNGDJCJ_01033,GFDNPGNJ_01645,,AMGBDAFE_00842,KOCEJNFM_00816,POEAOIBB_00773,GCKDAGAE_00522,PDIMPFPI_00805,,HCNBPFHJ_00439,BBFLPEJG_00998,AEMNHECO_01033,,PAGOGBDJ_00878,LAOJDNKF_00935
group_790,,hypothetical protein,OKNGDJCJ_00823,GFDNPGNJ_01439,,AMGBDAFE_01041,KOCEJNFM_01026,POEAOIBB_00565,GCKDAGAE_00730,PDIMPFPI_01016,,HCNBPFHJ_00651,BBFLPEJG_00791,AEMNHECO_00823,,PAGOGBDJ_01132,LAOJDNKF_01141
dprA~~~dprA_1~~~dprA_2,dprA;dprA_1;dprA_2,DNA processing protein DprA,OKNGDJCJ_00995,GFDNPGNJ_01609,,AMGBDAFE_00877,KOCEJNFM_00854,POEAOIBB_00738,GCKDAGAE_00560,PDIMPFPI_00844,,HCNBPFHJ_00480,BBFLPEJG_00962,AEMNHECO_00995,,PAGOGBDJ_00962,LAOJDNKF_00970
group_773,,hypothetical protein,OKNGDJCJ_00210,GFDNPGNJ_00783,,AMGBDAFE_00195,KOCEJNFM_01639,POEAOIBB_00192,GCKDAGAE_01855,PDIMPFPI_00163,,HCNBPFHJ_01793,BBFLPEJG_00206,AEMNHECO_00210,,PAGOGBDJ_00189,LAOJDNKF_00209
group_769,menD,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,OKNGDJCJ_00380,GFDNPGNJ_00945,,AMGBDAFE_00367,KOCEJNFM_01469,POEAOIBB_00355,GCKDAGAE_00023,PDIMPFPI_00328,,HCNBPFHJ_01956,BBFLPEJG_00380,AEMNHECO_00380,,PAGOGBDJ_00350,LAOJDNKF_00372
group_742,hemE,Uroporphyrinogen decarboxylase,OKNGDJCJ_00221,GFDNPGNJ_00792,,AMGBDAFE_00206,KOCEJNFM_01628,POEAOIBB_00203,GCKDAGAE_01867,PDIMPFPI_00172,,HCNBPFHJ_01802,BBFLPEJG_00216,AEMNHECO_00221,,PAGOGBDJ_00200,LAOJDNKF_00220
group_738,,hypothetical protein,OKNGDJCJ_01262,GFDNPGNJ_01883,,AMGBDAFE_00601,KOCEJNFM_00587,POEAOIBB_01015,GCKDAGAE_00270,PDIMPFPI_00563,,HCNBPFHJ_00143,BBFLPEJG_01239,AEMNHECO_01262,,PAGOGBDJ_00636,LAOJDNKF_00693
group_689,,hypothetical protein,OKNGDJCJ_00209,GFDNPGNJ_00782,,AMGBDAFE_00194,KOCEJNFM_01640,POEAOIBB_00191,GCKDAGAE_01854,PDIMPFPI_00162,,HCNBPFHJ_01792,BBFLPEJG_00205,AEMNHECO_00209,,PAGOGBDJ_00188,LAOJDNKF_00208
group_684,,Polyphenol oxidase,OKNGDJCJ_01474,GFDNPGNJ_00071,,AMGBDAFE_01427,KOCEJNFM_00375,POEAOIBB_01445,GCKDAGAE_01107,PDIMPFPI_01453,,HCNBPFHJ_01047,BBFLPEJG_01497,AEMNHECO_01474,,PAGOGBDJ_01520,LAOJDNKF_01538
group_673,,hypothetical protein,OKNGDJCJ_00006,GFDNPGNJ_00583,,AMGBDAFE_00006,KOCEJNFM_01843,POEAOIBB_00006,GCKDAGAE_01662,PDIMPFPI_01956,,HCNBPFHJ_01583,BBFLPEJG_00006,AEMNHECO_00006,,PAGOGBDJ_00007,LAOJDNKF_00006
group_666,argO,Arginine exporter protein ArgO,OKNGDJCJ_00236,GFDNPGNJ_00808,,AMGBDAFE_00221,KOCEJNFM_01613,POEAOIBB_00218,GCKDAGAE_01883,PDIMPFPI_00187,,HCNBPFHJ_01818,BBFLPEJG_00232,AEMNHECO_00236,,PAGOGBDJ_00215,LAOJDNKF_00235
yxeP_3~~~yxeP_1~~~yxeP_2,yxeP_3;yxeP_1;yxeP_2,putative hydrolase YxeP,OKNGDJCJ_01007,GFDNPGNJ_01622,,AMGBDAFE_00865,KOCEJNFM_00842,POEAOIBB_00751,GCKDAGAE_00543,PDIMPFPI_00831,,HCNBPFHJ_00465,BBFLPEJG_00975,AEMNHECO_01007,,PAGOGBDJ_00943,LAOJDNKF_00958
group_641,sulD,Bifunctional folate synthesis protein,OKNGDJCJ_00513,GFDNPGNJ_01137,,AMGBDAFE_01339,KOCEJNFM_01336,POEAOIBB_01353,GCKDAGAE_01024,PDIMPFPI_01364,,HCNBPFHJ_00957,BBFLPEJG_00496,AEMNHECO_00513,,PAGOGBDJ_01427,LAOJDNKF_01451
comEC_2~~~comEC_1,comEC_2;comEC_1,ComE operon protein 3,OKNGDJCJ_00986,GFDNPGNJ_01600,,AMGBDAFE_00886,KOCEJNFM_00863,POEAOIBB_00729,GCKDAGAE_00569,PDIMPFPI_00853,,HCNBPFHJ_00489,BBFLPEJG_00953,AEMNHECO_00986,,PAGOGBDJ_00971,LAOJDNKF_00979
