Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
znuB,znuB,High-affinity zinc uptake system membrane protein ZnuB,14,14,1.0,1,3462,,,,819,819,819.0,OKNGDJCJ_00243,GFDNPGNJ_00815,BFBCFGIC_00213,AMGBDAFE_00228,KOCEJNFM_01606,POEAOIBB_00225,GCKDAGAE_01890,PDIMPFPI_00195,AGBEICAE_01288,HCNBPFHJ_01827,BBFLPEJG_00239,AEMNHECO_00243,,PAGOGBDJ_00222,LAOJDNKF_00242
kipA~~~kipA_2~~~kipA_1,kipA;kipA_2;kipA_1,KipI antagonist,14,15,1.0714285714285714,1,3452,,,,273,1035,947.6,OKNGDJCJ_00476,GFDNPGNJ_01100,BFBCFGIC_00477,AMGBDAFE_00444,KOCEJNFM_01373,POEAOIBB_00445,GCKDAGAE_00110,PDIMPFPI_00410,AGBEICAE_01625;AGBEICAE_01624,HCNBPFHJ_02035,BBFLPEJG_00459,AEMNHECO_00476,,PAGOGBDJ_00430,LAOJDNKF_00515
glnH_3~~~glnH_2~~~glnH_1,glnH_3;glnH_2;glnH_1,Glutamine-binding periplasmic protein,14,14,1.0,1,3439,,,,786,792,786.6428571428571,OKNGDJCJ_00363,GFDNPGNJ_00928,BFBCFGIC_00384,AMGBDAFE_00350,KOCEJNFM_01486,POEAOIBB_00338,GCKDAGAE_00006,PDIMPFPI_00311,,HCNBPFHJ_01939,BBFLPEJG_00363,AEMNHECO_00363,ICLGGANE_00372,PAGOGBDJ_00333,LAOJDNKF_00355
mgsR,mgsR,Regulatory protein MgsR,14,14,1.0,1,3433,,,,354,354,354.0,OKNGDJCJ_01845,GFDNPGNJ_00499,BFBCFGIC_01839,AMGBDAFE_01883,KOCEJNFM_00005,POEAOIBB_01863,GCKDAGAE_01566,PDIMPFPI_01878,AGBEICAE_01052,HCNBPFHJ_01505,BBFLPEJG_01896,AEMNHECO_01844,,PAGOGBDJ_01925,LAOJDNKF_01913
dcuA~~~dcuA_2~~~dcuA_1,dcuA;dcuA_2;dcuA_1,Anaerobic C4-dicarboxylate transporter DcuA,14,15,1.0714285714285714,1,3419,,,,264,1341,1222.4,OKNGDJCJ_00241,GFDNPGNJ_00813,BFBCFGIC_00210,AMGBDAFE_00226,KOCEJNFM_01608,POEAOIBB_00223,GCKDAGAE_01888,PDIMPFPI_00192;PDIMPFPI_00193,AGBEICAE_01285,HCNBPFHJ_01825,BBFLPEJG_00237,AEMNHECO_00241,,PAGOGBDJ_00220,LAOJDNKF_00240
mntH~~~mntH_1~~~mntH_2,mntH;mntH_1;mntH_2,Divalent metal cation transporter MntH,14,15,1.0714285714285714,1,3401,,,,273,1263,1176.2,OKNGDJCJ_00149,GFDNPGNJ_00730,BFBCFGIC_00281,AMGBDAFE_00142,KOCEJNFM_01700,POEAOIBB_00136,,PDIMPFPI_00111,AGBEICAE_01364;AGBEICAE_01363,HCNBPFHJ_01736,BBFLPEJG_00156,AEMNHECO_00149,ICLGGANE_00153,PAGOGBDJ_00141,LAOJDNKF_00156
oprF~~~yiaD~~~ompA,oprF;yiaD;ompA,Outer membrane porin F;putative lipoprotein YiaD;Outer membrane protein A,14,14,1.0,1,3395,,,,936,1038,1029.2142857142858,OKNGDJCJ_00479,GFDNPGNJ_01104,,AMGBDAFE_00448,KOCEJNFM_01370,POEAOIBB_00451,GCKDAGAE_00117,PDIMPFPI_00414,AGBEICAE_01633,HCNBPFHJ_02038,BBFLPEJG_00462,AEMNHECO_00479,ICLGGANE_00476,PAGOGBDJ_00436,LAOJDNKF_00518
group_1990,,hypothetical protein,14,14,1.0,1,3379,,,,588,597,594.6428571428571,OKNGDJCJ_01797,GFDNPGNJ_00445,BFBCFGIC_01791,AMGBDAFE_01830,KOCEJNFM_00053,POEAOIBB_01816,GCKDAGAE_01519,PDIMPFPI_01835,AGBEICAE_01000,HCNBPFHJ_01462,BBFLPEJG_01849,AEMNHECO_01796,,PAGOGBDJ_01875,LAOJDNKF_01862
group_1985,,hypothetical protein,14,15,1.0714285714285714,1,3371,,,,831,843,831.8,OKNGDJCJ_01800,GFDNPGNJ_00451,BFBCFGIC_01796;BFBCFGIC_01797,AMGBDAFE_01835,KOCEJNFM_00050,POEAOIBB_01821,GCKDAGAE_01524,PDIMPFPI_01840,AGBEICAE_01006,,BBFLPEJG_01855,AEMNHECO_01799,ICLGGANE_01812,PAGOGBDJ_01881,LAOJDNKF_01868
bioD_1~~~bioD1~~~bioD_2,bioD_1;bioD1;bioD_2,ATP-dependent dethiobiotin synthetase BioD;ATP-dependent dethiobiotin synthetase BioD 1,14,15,1.0714285714285714,1,3361,,,,312,753,701.4,OKNGDJCJ_00239,GFDNPGNJ_00811,BFBCFGIC_00208,AMGBDAFE_00224,KOCEJNFM_01610,POEAOIBB_00221,GCKDAGAE_01886,PDIMPFPI_00190,AGBEICAE_01283;AGBEICAE_01282,HCNBPFHJ_01823,BBFLPEJG_00235,AEMNHECO_00239,,PAGOGBDJ_00218,LAOJDNKF_00238
group_1974,bioK,L-Lysine--8-amino-7-oxononanoate transaminase,14,14,1.0,1,3357,,,,1389,1389,1389.0,OKNGDJCJ_00240,GFDNPGNJ_00812,BFBCFGIC_00209,AMGBDAFE_00225,KOCEJNFM_01609,POEAOIBB_00222,GCKDAGAE_01887,PDIMPFPI_00191,AGBEICAE_01284,HCNBPFHJ_01824,BBFLPEJG_00236,AEMNHECO_00240,,PAGOGBDJ_00219,LAOJDNKF_00239
mtcA1_1~~~mtcA1_2,mtcA1_1;mtcA1_2,Beta-carbonic anhydrase 1,14,14,1.0,1,3355,,,,546,546,546.0,OKNGDJCJ_00238,GFDNPGNJ_00810,BFBCFGIC_00207,AMGBDAFE_00223,KOCEJNFM_01611,POEAOIBB_00220,GCKDAGAE_01885,PDIMPFPI_00189,AGBEICAE_01281,HCNBPFHJ_01820,BBFLPEJG_00234,AEMNHECO_00238,,PAGOGBDJ_00217,LAOJDNKF_00237
group_1949,,hypothetical protein,14,14,1.0,1,3320,,,,288,288,288.0,OKNGDJCJ_01904,GFDNPGNJ_00556,BFBCFGIC_01871,AMGBDAFE_01929,KOCEJNFM_01870,POEAOIBB_01906,GCKDAGAE_01629,PDIMPFPI_01929,,HCNBPFHJ_01556,BBFLPEJG_01928,AEMNHECO_01903,ICLGGANE_01871,PAGOGBDJ_01975,LAOJDNKF_01953
fbiB_2~~~fbiB~~~fbiB_3,fbiB_2;fbiB;fbiB_3,Coenzyme F420:L-glutamate ligase,14,14,1.0,1,3295,,,,540,591,587.3571428571429,OKNGDJCJ_01841,GFDNPGNJ_00494,BFBCFGIC_01835,AMGBDAFE_01879,KOCEJNFM_00009,POEAOIBB_01859,GCKDAGAE_01564,PDIMPFPI_01874,AGBEICAE_01048,HCNBPFHJ_01501,BBFLPEJG_01892,AEMNHECO_01840,,PAGOGBDJ_01921,LAOJDNKF_01909
group_1920,,hypothetical protein,14,14,1.0,1,3269,,,,1041,1044,1041.4285714285713,OKNGDJCJ_00237,GFDNPGNJ_00809,BFBCFGIC_00206,AMGBDAFE_00222,KOCEJNFM_01612,POEAOIBB_00219,GCKDAGAE_01884,PDIMPFPI_00188,AGBEICAE_01280,HCNBPFHJ_01819,BBFLPEJG_00233,AEMNHECO_00237,,PAGOGBDJ_00216,LAOJDNKF_00236
group_1857,,hypothetical protein,14,14,1.0,1,3188,,,,1062,1062,1062.0,OKNGDJCJ_00754,GFDNPGNJ_01366,BFBCFGIC_00701,AMGBDAFE_01113,KOCEJNFM_01095,POEAOIBB_01120,GCKDAGAE_00800,PDIMPFPI_01134,AGBEICAE_00249,HCNBPFHJ_00721,BBFLPEJG_00723,AEMNHECO_00754,,PAGOGBDJ_01199,LAOJDNKF_01217
fucO_2~~~fucO,fucO_2;fucO,Lactaldehyde reductase,14,14,1.0,1,3167,,,,1152,1152,1152.0,OKNGDJCJ_01834,GFDNPGNJ_00487,BFBCFGIC_01827,AMGBDAFE_01870,KOCEJNFM_00016,POEAOIBB_01850,GCKDAGAE_01556,PDIMPFPI_01867,AGBEICAE_01040,HCNBPFHJ_01494,BBFLPEJG_01884,AEMNHECO_01833,,PAGOGBDJ_01914,LAOJDNKF_01902
group_1844,,Beta-hexosaminidase A,14,14,1.0,1,3160,,,,1146,1149,1148.7857142857142,OKNGDJCJ_01835,GFDNPGNJ_00488,BFBCFGIC_01828,AMGBDAFE_01872,KOCEJNFM_00015,POEAOIBB_01853,GCKDAGAE_01557,PDIMPFPI_01868,AGBEICAE_01041,HCNBPFHJ_01495,BBFLPEJG_01886,AEMNHECO_01834,,PAGOGBDJ_01915,LAOJDNKF_01903
group_1841,,hypothetical protein,14,14,1.0,1,3153,,,,234,234,234.0,OKNGDJCJ_01836,GFDNPGNJ_00489,BFBCFGIC_01829,AMGBDAFE_01873,KOCEJNFM_00014,POEAOIBB_01854,GCKDAGAE_01559,PDIMPFPI_01869,AGBEICAE_01042,HCNBPFHJ_01496,BBFLPEJG_01887,AEMNHECO_01835,,PAGOGBDJ_01916,LAOJDNKF_01904
group_1837,,hypothetical protein,14,14,1.0,1,3142,,,,771,780,771.6428571428571,OKNGDJCJ_01838,GFDNPGNJ_00491,BFBCFGIC_01831,AMGBDAFE_01875,KOCEJNFM_00012,POEAOIBB_01856,GCKDAGAE_01561,PDIMPFPI_01871,AGBEICAE_01044,HCNBPFHJ_01498,BBFLPEJG_01889,AEMNHECO_01837,,PAGOGBDJ_01918,LAOJDNKF_01906
group_1830,,hypothetical protein,14,14,1.0,1,3130,,,,399,432,403.7142857142857,OKNGDJCJ_01839,GFDNPGNJ_00492,BFBCFGIC_01832,AMGBDAFE_01876,KOCEJNFM_00011,POEAOIBB_01857,GCKDAGAE_01562,PDIMPFPI_01872,AGBEICAE_01045,HCNBPFHJ_01499,BBFLPEJG_01890,AEMNHECO_01838,,PAGOGBDJ_01919,LAOJDNKF_01907
hisH,hisH,Imidazole glycerol phosphate synthase subunit HisH,14,14,1.0,1,3039,,,,612,627,623.7857142857143,OKNGDJCJ_00137,GFDNPGNJ_00714,BFBCFGIC_00264,,KOCEJNFM_01712,POEAOIBB_00122,GCKDAGAE_01792,PDIMPFPI_00092,AGBEICAE_01347,HCNBPFHJ_01721,BBFLPEJG_00139,AEMNHECO_00137,ICLGGANE_00141,PAGOGBDJ_00128,LAOJDNKF_00136
hisC,hisC,Histidinol-phosphate aminotransferase,14,14,1.0,1,3038,,,,1077,1086,1078.5,OKNGDJCJ_00136,GFDNPGNJ_00713,BFBCFGIC_00263,,KOCEJNFM_01713,POEAOIBB_00121,GCKDAGAE_01791,PDIMPFPI_00091,AGBEICAE_01346,HCNBPFHJ_01720,BBFLPEJG_00138,AEMNHECO_00136,ICLGGANE_00140,PAGOGBDJ_00127,LAOJDNKF_00135
hisI,hisI,Phosphoribosyl-AMP cyclohydrolase,14,14,1.0,1,2997,,,,315,318,316.92857142857144,OKNGDJCJ_00134,GFDNPGNJ_00711,BFBCFGIC_00261,,KOCEJNFM_01715,POEAOIBB_00119,GCKDAGAE_01789,PDIMPFPI_00089,AGBEICAE_01344,HCNBPFHJ_01718,BBFLPEJG_00136,AEMNHECO_00134,ICLGGANE_00138,PAGOGBDJ_00125,LAOJDNKF_00133
hisE,hisE,Phosphoribosyl-ATP pyrophosphatase,14,14,1.0,1,2995,,,,327,330,327.42857142857144,OKNGDJCJ_00135,GFDNPGNJ_00712,BFBCFGIC_00262,,KOCEJNFM_01714,POEAOIBB_00120,GCKDAGAE_01790,PDIMPFPI_00090,AGBEICAE_01345,HCNBPFHJ_01719,BBFLPEJG_00137,AEMNHECO_00135,ICLGGANE_00139,PAGOGBDJ_00126,LAOJDNKF_00134
group_1768,,hypothetical protein,14,14,1.0,1,2988,,,,1305,1326,1312.9285714285713,OKNGDJCJ_01682,GFDNPGNJ_00272,BFBCFGIC_01681,AMGBDAFE_01690,KOCEJNFM_00168,POEAOIBB_01688,GCKDAGAE_01354,PDIMPFPI_01655,AGBEICAE_00870,HCNBPFHJ_01251,BBFLPEJG_01727,AEMNHECO_01681,,PAGOGBDJ_01769,LAOJDNKF_01743
group_1764,,hypothetical protein,14,14,1.0,1,2979,,,,1017,1023,1020.8571428571429,OKNGDJCJ_00759,GFDNPGNJ_01372,BFBCFGIC_00706,AMGBDAFE_01105,KOCEJNFM_01090,POEAOIBB_01114,GCKDAGAE_00791,PDIMPFPI_01129,AGBEICAE_00244,HCNBPFHJ_00717,BBFLPEJG_00729,AEMNHECO_00759,,PAGOGBDJ_01193,LAOJDNKF_01211
hisF~~~hisF_1,hisF;hisF_1,Imidazole glycerol phosphate synthase subunit HisF,14,14,1.0,1,2936,,,,759,759,759.0,OKNGDJCJ_00133,GFDNPGNJ_00710,BFBCFGIC_00260,,KOCEJNFM_01716,POEAOIBB_00118,GCKDAGAE_01788,PDIMPFPI_00088,AGBEICAE_01343,HCNBPFHJ_01717,BBFLPEJG_00135,AEMNHECO_00133,ICLGGANE_00137,PAGOGBDJ_00124,LAOJDNKF_00132
hisA,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,14,14,1.0,1,2935,,,,720,744,725.3571428571429,OKNGDJCJ_00132,GFDNPGNJ_00709,BFBCFGIC_00259,,KOCEJNFM_01717,POEAOIBB_00117,GCKDAGAE_01787,PDIMPFPI_00087,AGBEICAE_01342,HCNBPFHJ_01716,BBFLPEJG_00134,AEMNHECO_00132,ICLGGANE_00136,PAGOGBDJ_00123,LAOJDNKF_00131
yacP,yacP,putative protein YacP,14,14,1.0,1,2915,,,,534,537,534.4285714285714,OKNGDJCJ_01039,GFDNPGNJ_01651,BFBCFGIC_00994,AMGBDAFE_00836,KOCEJNFM_00810,POEAOIBB_00779,GCKDAGAE_00516,PDIMPFPI_00799,AGBEICAE_02053,HCNBPFHJ_00433,BBFLPEJG_01004,AEMNHECO_01039,,PAGOGBDJ_00872,LAOJDNKF_00929
hisB,hisB,Imidazoleglycerol-phosphate dehydratase,14,14,1.0,1,2877,,,,591,600,592.2857142857143,OKNGDJCJ_00131,GFDNPGNJ_00708,BFBCFGIC_00258,,KOCEJNFM_01718,POEAOIBB_00116,GCKDAGAE_01786,PDIMPFPI_00086,AGBEICAE_01341,HCNBPFHJ_01715,BBFLPEJG_00133,AEMNHECO_00131,ICLGGANE_00135,PAGOGBDJ_00122,LAOJDNKF_00130
yfkJ,yfkJ,Low molecular weight protein-tyrosine-phosphatase YfkJ,14,14,1.0,1,2828,,,,459,459,459.0,OKNGDJCJ_01352,GFDNPGNJ_01971,BFBCFGIC_01339,AMGBDAFE_00507,KOCEJNFM_00497,POEAOIBB_00506,GCKDAGAE_00174,PDIMPFPI_00476,AGBEICAE_01693,HCNBPFHJ_00053,BBFLPEJG_01330,AEMNHECO_01352,,PAGOGBDJ_00495,LAOJDNKF_00582
hisD,hisD,Histidinol dehydrogenase,14,14,1.0,1,2789,,,,1275,1278,1277.7857142857142,OKNGDJCJ_00130,GFDNPGNJ_00707,BFBCFGIC_00257,,KOCEJNFM_01719,POEAOIBB_00115,GCKDAGAE_01785,PDIMPFPI_00085,AGBEICAE_01340,HCNBPFHJ_01714,BBFLPEJG_00132,AEMNHECO_00130,ICLGGANE_00134,PAGOGBDJ_00121,LAOJDNKF_00129
hisG~~~hisZ,hisG;hisZ,ATP phosphoribosyltransferase;ATP phosphoribosyltransferase regulatory subunit,14,15,1.0714285714285714,1,2788,,,,747,1605,1495.2,OKNGDJCJ_00129,GFDNPGNJ_00706,BFBCFGIC_00256,,KOCEJNFM_01720,POEAOIBB_00114,GCKDAGAE_01784,PDIMPFPI_00084,AGBEICAE_01338;AGBEICAE_01339,HCNBPFHJ_01713,BBFLPEJG_00131,AEMNHECO_00129,ICLGGANE_00133,PAGOGBDJ_00120,LAOJDNKF_00128
group_1651,,hypothetical protein,14,14,1.0,1,2780,,,,225,270,249.64285714285714,OKNGDJCJ_01192,GFDNPGNJ_01813,BFBCFGIC_01173,,KOCEJNFM_00657,POEAOIBB_00945,GCKDAGAE_00343,PDIMPFPI_00633,AGBEICAE_01870,HCNBPFHJ_00268,BBFLPEJG_01163,AEMNHECO_01192,ICLGGANE_01230,PAGOGBDJ_00706,LAOJDNKF_00769
carB~~~carB_2~~~carB_1,carB;carB_2;carB_1,Carbamoyl-phosphate synthase large chain,14,15,1.0714285714285714,1,2755,,,,180,3201,2988.0,OKNGDJCJ_00584,GFDNPGNJ_01208,BFBCFGIC_00038,AMGBDAFE_01270,KOCEJNFM_01265,POEAOIBB_01284,,PDIMPFPI_01295,AGBEICAE_00446;AGBEICAE_00447,HCNBPFHJ_00886,BBFLPEJG_00564,AEMNHECO_00584,ICLGGANE_00580,PAGOGBDJ_01358,LAOJDNKF_01378
group_1598,,hypothetical protein,14,14,1.0,1,2680,,,,360,372,369.42857142857144,OKNGDJCJ_00060,GFDNPGNJ_00628,BFBCFGIC_00108,AMGBDAFE_00053,KOCEJNFM_01789,POEAOIBB_00057,GCKDAGAE_01725,PDIMPFPI_00003,AGBEICAE_01178,HCNBPFHJ_01631,BBFLPEJG_00045,AEMNHECO_00060,,PAGOGBDJ_00054,LAOJDNKF_00051
carA~~~carA_1,carA;carA_1,Carbamoyl-phosphate synthase small chain,14,14,1.0,1,2670,,,,1068,1068,1068.0,OKNGDJCJ_00583,GFDNPGNJ_01207,BFBCFGIC_00037,AMGBDAFE_01271,KOCEJNFM_01266,POEAOIBB_01285,,PDIMPFPI_01296,AGBEICAE_00448,HCNBPFHJ_00887,BBFLPEJG_00563,AEMNHECO_00583,ICLGGANE_00579,PAGOGBDJ_01359,LAOJDNKF_01379
group_1583,,hypothetical protein,14,14,1.0,1,2658,,,,537,546,540.2142857142857,OKNGDJCJ_01784,GFDNPGNJ_00434,BFBCFGIC_01781,AMGBDAFE_01817,KOCEJNFM_00066,POEAOIBB_01803,GCKDAGAE_01507,PDIMPFPI_01822,AGBEICAE_00988,HCNBPFHJ_01453,BBFLPEJG_01837,AEMNHECO_01783,,PAGOGBDJ_01866,LAOJDNKF_01854
sodA~~~sodA2,sodA;sodA2,Superoxide dismutase [Mn];Superoxide dismutase [Mn] 2,14,16,1.1428571428571428,1,2657,,,,144,630,547.3125,OKNGDJCJ_01783,GFDNPGNJ_00433,BFBCFGIC_01780,AMGBDAFE_01816;AMGBDAFE_01814,KOCEJNFM_00067,POEAOIBB_01802,GCKDAGAE_01506,PDIMPFPI_01821,AGBEICAE_00986,HCNBPFHJ_01452,BBFLPEJG_01836,AEMNHECO_01782,,PAGOGBDJ_01865;PAGOGBDJ_01864,LAOJDNKF_01853
bepA~~~loiP,bepA;loiP;,Beta-barrel assembly-enhancing protease;Metalloprotease LoiP;hypothetical protein,14,15,1.0714285714285714,1,2555,,,,405,1290,1101.0,OKNGDJCJ_00061,GFDNPGNJ_00629,BFBCFGIC_00109,AMGBDAFE_00054,KOCEJNFM_01788,POEAOIBB_00058,GCKDAGAE_01726,PDIMPFPI_00004,AGBEICAE_01179;AGBEICAE_01180,HCNBPFHJ_01632,BBFLPEJG_00046,AEMNHECO_00061,,PAGOGBDJ_00055,LAOJDNKF_00052
group_1509,,hypothetical protein,14,14,1.0,1,2527,,,,1557,1656,1617.642857142857,OKNGDJCJ_01782,GFDNPGNJ_00432,BFBCFGIC_01779,AMGBDAFE_01813,KOCEJNFM_00068,POEAOIBB_01801,GCKDAGAE_01504,PDIMPFPI_01820,AGBEICAE_00985,HCNBPFHJ_01451,BBFLPEJG_01835,AEMNHECO_01781,,PAGOGBDJ_01863,LAOJDNKF_01852
patB_2~~~patB_1,patB_2;patB_1,Cystathionine beta-lyase PatB,14,14,1.0,1,2526,,,,1188,1194,1190.5714285714287,OKNGDJCJ_01781,GFDNPGNJ_00431,BFBCFGIC_01778,AMGBDAFE_01812,KOCEJNFM_00069,POEAOIBB_01800,GCKDAGAE_01503,PDIMPFPI_01819,AGBEICAE_00984,HCNBPFHJ_01450,BBFLPEJG_01834,AEMNHECO_01780,,PAGOGBDJ_01862,LAOJDNKF_01851
yihV,yihV,Sulfofructose kinase,14,14,1.0,1,2509,,,,948,1017,1005.2142857142857,OKNGDJCJ_01368,GFDNPGNJ_01988,BFBCFGIC_01356,AMGBDAFE_00491,KOCEJNFM_00481,POEAOIBB_00491,GCKDAGAE_00159,PDIMPFPI_00461,AGBEICAE_01671,HCNBPFHJ_00038,BBFLPEJG_01346,AEMNHECO_01368,,PAGOGBDJ_00480,LAOJDNKF_00565
thiE~~~thiE_1,thiE;thiE_1,Thiamine-phosphate synthase,14,14,1.0,1,2504,,,,1506,1527,1518.857142857143,OKNGDJCJ_00320,GFDNPGNJ_00891,BFBCFGIC_00351,AMGBDAFE_00308,KOCEJNFM_01529,POEAOIBB_00298,GCKDAGAE_01978,PDIMPFPI_00271,AGBEICAE_01440,HCNBPFHJ_01904,BBFLPEJG_00332,AEMNHECO_00320,,PAGOGBDJ_00299,LAOJDNKF_00323
rluD_3~~~rluD_1,rluD_3;rluD_1,Ribosomal large subunit pseudouridine synthase D,14,14,1.0,1,2493,,,,1005,1119,1070.5714285714287,OKNGDJCJ_01691,GFDNPGNJ_00281,BFBCFGIC_01687,AMGBDAFE_01698,KOCEJNFM_00159,POEAOIBB_01694,GCKDAGAE_01363,PDIMPFPI_01664,AGBEICAE_00875,HCNBPFHJ_01259,BBFLPEJG_01735,AEMNHECO_01690,,PAGOGBDJ_01777,LAOJDNKF_01752
group_1473,,hypothetical protein,14,14,1.0,1,2459,,,,348,348,348.0,OKNGDJCJ_00095,GFDNPGNJ_00659,BFBCFGIC_00146,AMGBDAFE_00087,KOCEJNFM_01754,POEAOIBB_00080,GCKDAGAE_01750,PDIMPFPI_00038,AGBEICAE_01214,HCNBPFHJ_01670,BBFLPEJG_00092,AEMNHECO_00095,ICLGGANE_00110,,LAOJDNKF_00086
yfmO~~~mdtG,yfmO;mdtG,Multidrug efflux protein YfmO;Multidrug resistance protein MdtG,14,15,1.0714285714285714,1,2428,,,,357,1209,1127.4,OKNGDJCJ_00234,GFDNPGNJ_00805;GFDNPGNJ_00806,BFBCFGIC_00203,AMGBDAFE_00219,KOCEJNFM_01615,POEAOIBB_00216,GCKDAGAE_01881,PDIMPFPI_00185,AGBEICAE_01276,HCNBPFHJ_01816,BBFLPEJG_00230,AEMNHECO_00234,,PAGOGBDJ_00213,LAOJDNKF_00233
group_1454,,hypothetical protein,14,14,1.0,1,2427,,,,606,612,606.8571428571429,OKNGDJCJ_00233,GFDNPGNJ_00804,BFBCFGIC_00200,AMGBDAFE_00218,KOCEJNFM_01616,POEAOIBB_00215,GCKDAGAE_01880,PDIMPFPI_00184,AGBEICAE_01275,HCNBPFHJ_01815,BBFLPEJG_00229,AEMNHECO_00233,,PAGOGBDJ_00212,LAOJDNKF_00232
ytmI,ytmI,putative N-acetyltransferase YtmI,14,14,1.0,1,2424,,,,486,486,486.0,OKNGDJCJ_00105,GFDNPGNJ_00674,BFBCFGIC_00237,AMGBDAFE_00103,KOCEJNFM_01744,POEAOIBB_00093,GCKDAGAE_01760,PDIMPFPI_00057,AGBEICAE_01312,HCNBPFHJ_01682,BBFLPEJG_00105,AEMNHECO_00105,,PAGOGBDJ_00091,LAOJDNKF_00100
upaG_3~~~ehaG_2~~~ehaG_1~~~btaE_2,upaG_3;ehaG_2;ehaG_1;btaE_2,Autotransporter adhesin UpaG;Autotransporter adhesin EhaG;Autotransporter adhesin BtaE,14,14,1.0,1,2423,,,,1731,2010,1818.857142857143,OKNGDJCJ_00104,GFDNPGNJ_00673,BFBCFGIC_00236,AMGBDAFE_00102,KOCEJNFM_01745,POEAOIBB_00092,GCKDAGAE_01759,PDIMPFPI_00054,,HCNBPFHJ_01679,BBFLPEJG_00104,AEMNHECO_00104,ICLGGANE_00119,PAGOGBDJ_00090,LAOJDNKF_00098
ycf3~~~yrrB,ycf3;yrrB,Photosystem I assembly protein Ycf3;TPR repeat-containing protein YrrB,14,14,1.0,1,2416,,,,567,648,627.8571428571429,OKNGDJCJ_01829,GFDNPGNJ_00482,BFBCFGIC_01820,AMGBDAFE_01866,KOCEJNFM_00021,POEAOIBB_01846,GCKDAGAE_01549,PDIMPFPI_01862,AGBEICAE_01032,HCNBPFHJ_01489,BBFLPEJG_01879,AEMNHECO_01828,,PAGOGBDJ_01910,LAOJDNKF_01897
group_1445,,hypothetical protein,14,15,1.0714285714285714,1,2407,,,,156,750,703.6,OKNGDJCJ_00106,GFDNPGNJ_00675,BFBCFGIC_00238,AMGBDAFE_00104,KOCEJNFM_01743,POEAOIBB_00094,GCKDAGAE_01761,PDIMPFPI_00058,AGBEICAE_01314;AGBEICAE_01313,HCNBPFHJ_01683,BBFLPEJG_00106,AEMNHECO_00106,,PAGOGBDJ_00092,LAOJDNKF_00101
uacT_2~~~uacT~~~uacT_1,uacT_2;uacT;uacT_1,Uric acid transporter UacT,14,14,1.0,1,2363,,,,1323,1329,1328.142857142857,OKNGDJCJ_01317,GFDNPGNJ_01939,BFBCFGIC_01292,AMGBDAFE_00542,KOCEJNFM_00532,POEAOIBB_01070,,PDIMPFPI_00507,AGBEICAE_01733,HCNBPFHJ_00087,BBFLPEJG_01296,AEMNHECO_01317,ICLGGANE_01352,PAGOGBDJ_00529,LAOJDNKF_00637
group_1402,,hypothetical protein,14,14,1.0,1,2341,,,,132,150,148.71428571428572,OKNGDJCJ_00966,GFDNPGNJ_01581,BFBCFGIC_00915,AMGBDAFE_00906,KOCEJNFM_00883,POEAOIBB_00705,GCKDAGAE_00588,PDIMPFPI_00872,AGBEICAE_00010,HCNBPFHJ_00508,BBFLPEJG_00934,AEMNHECO_00966,,PAGOGBDJ_00991,LAOJDNKF_00998
group_1401,,hypothetical protein,14,15,1.0714285714285714,1,2340,,,,204,1629,1468.0,OKNGDJCJ_00211,GFDNPGNJ_00784,BFBCFGIC_00188;BFBCFGIC_00189,AMGBDAFE_00196,KOCEJNFM_01638,POEAOIBB_00193,GCKDAGAE_01856,PDIMPFPI_00164,AGBEICAE_01262,HCNBPFHJ_01794,BBFLPEJG_00207,AEMNHECO_00211,,PAGOGBDJ_00190,LAOJDNKF_00210
pckA,;pckA,hypothetical protein;Phosphoenolpyruvate carboxykinase (ATP),14,14,1.0,1,2332,,,,1629,1761,1685.5714285714287,OKNGDJCJ_00212,GFDNPGNJ_00785,BFBCFGIC_00190,AMGBDAFE_00197,KOCEJNFM_01637,POEAOIBB_00194,GCKDAGAE_01857,PDIMPFPI_00165,AGBEICAE_01263,HCNBPFHJ_01795,BBFLPEJG_00208,AEMNHECO_00212,,PAGOGBDJ_00191,LAOJDNKF_00211
group_1387,,hypothetical protein,14,14,1.0,1,2318,,,,600,627,601.9285714285714,OKNGDJCJ_00013,GFDNPGNJ_00590,BFBCFGIC_00014,AMGBDAFE_00015,KOCEJNFM_01836,POEAOIBB_00017,GCKDAGAE_01669,PDIMPFPI_01963,AGBEICAE_01126,HCNBPFHJ_01590,BBFLPEJG_00013,AEMNHECO_00013,,PAGOGBDJ_00014,LAOJDNKF_00013
group_1379,,hypothetical protein,14,14,1.0,1,2306,,,,483,489,486.42857142857144,OKNGDJCJ_00199,GFDNPGNJ_00772,BFBCFGIC_00180,AMGBDAFE_00188,KOCEJNFM_01650,POEAOIBB_00185,GCKDAGAE_01845,PDIMPFPI_00152,AGBEICAE_01253,HCNBPFHJ_01782,BBFLPEJG_00195,AEMNHECO_00199,,PAGOGBDJ_00182,LAOJDNKF_00198
